******* TASK: AMIE: minHeadCoverage = 0.2, minConfidence = 0.1, minPcaConfidence = 0.1, only logical rules *******
memory: 13.9389 MB (stdDev: 5.817 kB, min: 13.9334 MB, max: 13.95 MB), +8.7232 MB (+167.2476%)
rules: 8.0 (stdDev: 0.0, min: 8.0, max: 8.0), +0.0 (+0.0%)
time: 5.683 s (stdDev: 1.958 s, min: 4.416 s, max: 10.30 s), -540.9 ms (-8.6915%)
******* TASK: RDFRules: minHeadCoverage = 0.2, minConfidence = 0.1, minPcaConfidence = 0.1, only logical rules *******
memory: 5.2157 MB (stdDev: 12.5082 MB, min: -165.288 kB, max: 35.853 MB), -8.7232 MB (-62.5815%)
rules: 8.0 (stdDev: 0.0, min: 8.0, max: 8.0), +0.0 (+0.0%)
time: 6.224 s (stdDev: 463.4 ms, min: 5.581 s, max: 7.159 s), +540.9 ms (+9.5188%)
******* TASK: AMIE: minHeadCoverage = 0.1, minConfidence = 0.1, minPcaConfidence = 0.1, only logical rules *******
memory: 13.8575 MB (stdDev: 68.562 kB, min: 13.7334 MB, max: 13.9437 MB), +13.4919 MB (+3690.5675%)
rules: 10.0 (stdDev: 0.0, min: 10.0, max: 10.0), +0.0 (+0.0%)
time: 5.616 s (stdDev: 160.1 ms, min: 5.404 s, max: 5.950 s), -3.547 s (-38.7086%)
******* TASK: RDFRules: minHeadCoverage = 0.1, minConfidence = 0.1, minPcaConfidence = 0.1, only logical rules *******
memory: 365.578 kB (stdDev: 527.801 kB, min: 91.472 kB, max: 1.6559 MB), -13.4919 MB (-97.3619%)
rules: 10.0 (stdDev: 0.0, min: 10.0, max: 10.0), +0.0 (+0.0%)
time: 9.162 s (stdDev: 384.4 ms, min: 8.653 s, max: 9.804 s), +3.547 s (+63.155%)
******* TASK: AMIE: minHeadCoverage = 0.05, minConfidence = 0.1, minPcaConfidence = 0.1, only logical rules *******
memory: 13.8449 MB (stdDev: 89.039 kB, min: 13.6715 MB, max: 13.9413 MB), +13.5842 MB (+5211.1152%)
rules: 16.0 (stdDev: 0.0, min: 16.0, max: 16.0), +0.0 (+0.0%)
time: 6.587 s (stdDev: 623.1 ms, min: 5.688 s, max: 7.774 s), -3.553 s (-35.0437%)
